name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;342;0;759;3073;1063;3073;1086;0
header;222;176;222;211;1840;211;1840;176
A;1019;240;1019;267;1041;267;1041;240
B;425;247;425;264;434;264;434;247
A;436;475;436;491;444;491;444;475
B;465;566;465;583;475;583;475;566
B;1021;908;1021;934;1041;934;1041;908
A;552;1019;552;1035;560;1035;560;1019
B;745;1020;745;1036;755;1036;755;1020
C;1022;1581;1022;1609;1043;1609;1043;1581
B;682;1699;682;1718;697;1718;697;1699
D;1027;2246;1027;2275;1052;2275;1052;2246
B;852;2570;852;2590;867;2590;867;2570
